N;Merge Sort;Quick Sort;Heap Sort;Quick Sort Modification;Sort with Skip List
60;0.016166;0.009542;0.035667;0.134458;0.147500
60;0.015417;0.009500;0.036292;0.144417;0.106417
60;0.023542;0.012541;0.040917;0.147708;0.108167
60;0.018084;0.010625;0.042250;0.167375;0.102459
60;0.018250;0.011875;0.043000;0.144667;0.105334
60;0.017750;0.011375;0.044375;0.147542;0.102083
60;0.017833;0.011083;0.052667;0.137292;0.099709
60;0.014709;0.009041;0.035375;0.148041;0.097791
60;0.014334;0.009959;0.034541;0.140834;0.094167
60;0.014500;0.009542;0.035541;0.131291;0.085000
80;0.020709;0.013542;0.047542;0.177792;0.106583
80;0.020459;0.013084;0.048333;0.175333;0.107208
80;0.020583;0.013375;0.047333;0.280791;0.180959
80;0.033958;0.024416;0.055417;0.261500;0.151708
80;0.031000;0.025375;0.056833;0.236875;0.163417
80;0.029917;0.021708;0.053083;0.219292;0.162459
80;0.023208;0.019209;0.041125;0.191000;0.150417
80;0.023541;0.018125;0.041125;0.165375;0.132042
80;0.024458;0.019458;0.041417;0.193166;0.138709
80;0.023042;0.018666;0.040250;0.176375;0.120333
100;0.031208;0.022958;0.056834;0.271167;0.141250
100;0.030792;0.023334;0.053416;0.264166;0.152125
100;0.030458;0.023584;0.052208;0.255959;0.147042
100;0.030375;0.023833;0.053458;0.247708;0.133875
100;0.031000;0.024625;0.053000;0.276916;0.141417
100;0.031333;0.022333;0.053958;0.253250;0.145000
100;0.030209;0.022542;0.053125;0.260917;0.140084
100;0.029667;0.023042;0.052083;0.240667;0.136917
100;0.030125;0.021750;0.053333;0.251792;0.140250
100;0.030250;0.023875;0.052792;0.247500;0.140667
200;0.066750;0.051167;0.114875;0.550583;0.246750
200;0.068000;0.051292;0.115416;0.554209;0.244667
200;0.067750;0.052208;0.114833;0.504208;0.196042
200;0.055250;0.042625;0.093667;0.453833;0.197167
200;0.055791;0.041667;0.096000;0.458958;0.192167
200;0.056625;0.043583;0.095750;0.465541;0.198958
200;0.056625;0.041875;0.095375;0.419334;0.188125
200;0.055875;0.042750;0.095000;0.442541;0.193208
200;0.055250;0.041041;0.097416;0.447750;0.195209
200;0.055459;0.042083;0.094041;0.465083;0.192375
300;0.091125;0.066833;0.149708;0.737584;0.278833
300;0.090250;0.067791;0.150125;0.701083;0.274291
300;0.089875;0.067167;0.150166;0.670125;0.277375
300;0.089458;0.067625;0.150000;0.673292;0.282500
300;0.083458;0.059167;0.128667;0.617750;0.244000
300;0.076500;0.058542;0.128125;0.613125;0.243041
300;0.076917;0.056666;0.127708;0.608459;0.238333
300;0.076959;0.056542;0.126708;0.585916;0.232916
300;0.077041;0.058500;0.126875;0.612417;0.246500
300;0.075667;0.056625;0.130417;0.615291;0.240708
500;0.135125;0.100542;0.227166;1.088916;0.381666
500;0.135166;0.102625;0.225792;1.009208;0.332792
500;0.117875;0.087667;0.194791;0.914459;0.332500
500;0.117958;0.088041;0.195833;0.962625;0.335333
500;0.117166;0.088375;0.196417;0.912458;0.332250
500;0.121250;0.088084;0.196292;0.966583;0.372875
500;0.121666;0.088042;0.198500;0.918708;0.349583
500;0.117666;0.090459;0.195583;0.828958;0.306875
500;0.104000;0.077417;0.174083;0.841708;0.308167
500;0.104375;0.077417;0.171708;0.828000;0.305125
1000;0.241041;0.169000;0.375917;1.755750;0.566541
1000;0.231000;0.169792;0.373375;1.777541;0.529542
1000;0.208250;0.151500;0.356959;1.590625;0.517458
1000;0.204875;0.152208;0.333542;1.541834;0.555000
1000;0.204584;0.156458;0.334458;1.486375;0.513583
1000;0.187792;0.136625;0.312542;1.423500;0.488250
1000;0.189708;0.139375;0.305625;1.523458;0.472917
1000;0.187541;0.142208;0.307833;1.390416;0.460709
1000;0.172208;0.127167;0.282000;1.336625;0.473000
1000;0.176875;0.127791;0.282459;1.365125;0.448083
2000;0.382291;0.276250;0.606250;2.623250;0.857875
2000;0.355375;0.254500;0.585125;2.623000;0.807792
2000;0.356083;0.256208;0.593875;2.523792;0.766292
2000;0.334875;0.234459;0.531292;2.448834;0.754750
2000;0.332208;0.235375;0.528125;2.432500;0.777958
2000;0.330375;0.227792;0.505209;2.370667;0.728583
2000;0.321834;0.230375;0.508083;2.374208;0.723583
2000;0.315416;0.233416;0.502500;2.387125;0.718667
2000;0.316959;0.228916;0.504792;2.358917;0.705625
2000;0.307666;0.221500;0.494083;2.295000;0.712875
5000;0.860208;0.604583;1.349625;5.954708;1.796667
5000;0.863167;0.599584;1.348500;5.897875;1.830417
5000;0.853791;0.602125;1.341958;5.996375;1.795875
5000;0.901167;0.608625;1.345625;6.038209;1.811834
5000;0.858375;0.609042;1.359750;6.024458;1.822000
5000;0.873291;0.609625;1.351583;6.038125;1.840584
5000;0.874958;0.630625;1.445208;6.244250;1.878375
5000;0.857959;0.616708;1.379709;6.078291;1.844833
5000;0.862666;0.596667;1.352125;5.895416;1.811417
5000;0.858542;0.605250;1.354458;5.908833;1.811208
15000;2.912875;1.993708;4.467958;19.488041;6.226583
15000;2.926417;1.977750;4.451709;19.528583;5.873750
15000;2.919000;1.992333;4.482292;20.074709;6.073875
