N;M;Insert Sort;Insert Sort with Binary Search
10;1;0.008334;0.006583
10;1;0.006708;0.006541
10;1;0.006709;0.006583
10;1;0.006375;0.006667
10;1;0.006541;0.006750
10;1;0.007834;0.006750
10;1;0.005375;0.006625
10;1;0.007166;0.006625
10;1;0.006792;0.006333
10;1;0.005125;0.006875
10;2;0.007708;0.006417
10;2;0.006459;0.006625
10;2;0.008375;0.006208
10;2;0.006042;0.006500
10;2;0.006875;0.006875
10;2;0.008250;0.006791
10;2;0.005042;0.006584
10;2;0.007459;0.006958
10;2;0.006833;0.006417
10;2;0.006166;0.007250
10;5;0.007375;0.006834
10;5;0.006917;0.006542
10;5;0.007167;0.006416
10;5;0.007125;0.007042
10;5;0.008208;0.006625
10;5;0.008458;0.006584
10;5;0.007208;0.006792
10;5;0.007334;0.007084
10;5;0.006292;0.007000
10;5;0.007916;0.006666
10;10;0.010417;0.008333
10;10;0.009833;0.007541
10;10;0.010083;0.008208
10;10;0.007458;0.008625
10;10;0.010459;0.008459
10;10;0.005875;0.008167
10;10;0.008000;0.008000
10;10;0.010459;0.007875
10;10;0.007084;0.008667
10;10;0.009125;0.007667
10;50;0.010750;0.009000
10;50;0.011125;0.009208
10;50;0.009792;0.008750
10;50;0.009334;0.009042
10;50;0.010334;0.008750
10;50;0.012667;0.008791
10;50;0.007125;0.009250
10;50;0.009541;0.009250
10;50;0.007375;0.009125
10;50;0.009333;0.008833
10;100;0.009625;0.008834
10;100;0.009084;0.009000
10;100;0.008583;0.009125
10;100;0.011750;0.008583
10;100;0.007458;0.008458
10;100;0.010375;0.009042
10;100;0.009209;0.008958
10;100;0.011875;0.007792
10;100;0.009541;0.007750
10;100;0.008917;0.007333
10;200;0.007833;0.007875
10;200;0.008458;0.007417
10;200;0.008750;0.007458
10;200;0.006708;0.007291
10;200;0.009500;0.007834
10;200;0.009750;0.007542
10;200;0.007833;0.007708
10;200;0.008291;0.007834
10;200;0.006084;0.007292
10;200;0.008375;0.007291
10;300;0.007667;0.008333
10;300;0.042625;0.009375
10;300;0.008875;0.010209
10;300;0.009958;0.009709
10;300;0.009833;0.009708
10;300;0.010291;0.009375
10;300;0.010791;0.010167
10;300;0.009459;0.009083
10;300;0.012291;0.009542
10;300;0.008125;0.009042
10;500;0.008417;0.008292
10;500;0.008750;0.008167
10;500;0.009792;0.008458
10;500;0.010500;0.007917
10;500;0.011167;0.008000
10;500;0.008375;0.007875
10;500;0.009125;0.008375
10;500;0.007125;0.007625
10;500;0.008375;0.008083
10;500;0.008917;0.008000
10;1000;0.009958;0.009000
10;1000;0.010541;0.009792
10;1000;0.008292;0.008500
10;1000;0.008708;0.008500
10;1000;0.009459;0.008625
10;1000;0.007625;0.008208
10;1000;0.007875;0.008125
10;1000;0.009750;0.008750
10;1000;0.008125;0.008250
10;1000;0.009833;0.008333
20;1;0.014708;0.014542
20;1;0.015958;0.013834
20;1;0.018083;0.013417
20;1;0.014792;0.014125
20;1;0.017875;0.013334
20;1;0.016834;0.013750
20;1;0.016584;0.013500
20;1;0.013291;0.013417
20;1;0.016542;0.013166
20;1;0.018083;0.013583
20;2;0.016208;0.014083
20;2;0.014958;0.013541
20;2;0.018042;0.013958
20;2;0.014667;0.013625
20;2;0.018125;0.013834
20;2;0.019792;0.013791
20;2;0.018542;0.013667
20;2;0.014500;0.013875
20;2;0.021958;0.013875
20;2;0.014583;0.013583
20;5;0.017959;0.013041
20;5;0.018333;0.013250
20;5;0.017833;0.013834
20;5;0.018459;0.013208
20;5;0.012542;0.012917
20;5;0.015541;0.013916
20;5;0.015792;0.013625
20;5;0.015667;0.013166
20;5;0.014292;0.013167
20;5;0.016208;0.014209
20;10;0.015167;0.013458
20;10;0.016292;0.014083
20;10;0.013000;0.013042
20;10;0.017459;0.014042
20;10;0.012833;0.013291
20;10;0.013291;0.013417
20;10;0.018708;0.013416
20;10;0.013292;0.012875
20;10;0.017000;0.014042
20;10;0.017167;0.013667
20;50;0.023083;0.017167
20;50;0.019958;0.016750
20;50;0.016958;0.015917
20;50;0.020333;0.016833
20;50;0.015750;0.013709
20;50;0.015292;0.013459
20;50;0.019125;0.013709
20;50;0.016625;0.013917
20;50;0.011917;0.012875
20;50;0.010417;0.012458
20;100;0.013292;0.013083
20;100;0.017125;0.013333
20;100;0.020042;0.013250
20;100;0.018750;0.012959
20;100;0.015292;0.013125
20;100;0.018375;0.013833
20;100;0.018958;0.013000
20;100;0.017208;0.013292
20;100;0.014084;0.012916
20;100;0.015541;0.013542
20;200;0.021250;0.016042
20;200;0.016875;0.014083
20;200;0.022625;0.014666
20;200;0.018917;0.014625
20;200;0.019000;0.014458
20;200;0.014083;0.013250
20;200;0.019500;0.014750
20;200;0.017458;0.013958
20;200;0.014959;0.013333
20;200;0.017500;0.013708
