N;Insert Sort;Merge Sort
5;0.000333;0.001208
5;0.000208;0.000958
5;0.000291;0.000875
5;0.000167;0.000791
5;0.000333;0.000791
5;0.000167;0.000750
5;0.000292;0.000666
5;0.000250;0.000709
5;0.000250;0.000750
5;0.000292;0.000709
5;0.000291;0.000792
5;0.000250;0.000708
5;0.000209;0.000750
5;0.000292;0.000667
5;0.000292;0.000834
5;0.000167;0.000708
5;0.000291;0.000709
5;0.000208;0.000667
5;0.000334;0.000834
5;0.000209;0.000708
5;0.000291;0.000708
5;0.000209;0.000750
5;0.000208;0.000667
5;0.000125;0.000750
5;0.000250;0.000917
5;0.000250;0.000708
5;0.000250;0.000750
5;0.000250;0.000750
5;0.000167;0.000708
5;0.000167;0.000750
5;0.000291;0.000708
5;0.000292;0.000750
5;0.000208;0.000666
5;0.000208;0.000708
5;0.000250;0.000709
5;0.000250;0.000709
5;0.000166;0.000625
5;0.000125;0.000625
5;0.000250;0.000708
5;0.000208;0.000709
5;0.000167;0.000709
5;0.000209;0.000708
5;0.000209;0.000750
5;0.000291;0.000667
5;0.000208;0.000709
5;0.000333;0.000791
5;0.000208;0.000750
5;0.000250;0.000667
5;0.000167;0.000708
5;0.000209;0.000667
10;0.000750;0.001708
10;0.000667;0.001667
10;0.000666;0.001416
10;0.000583;0.001500
10;0.000584;0.001500
10;0.000708;0.001458
10;0.000584;0.001417
10;0.000667;0.001375
10;0.000666;0.001416
10;0.000583;0.001417
10;0.000583;0.001500
10;0.000667;0.001542
10;0.000500;0.001334
10;0.000583;0.001500
10;0.000750;0.001542
10;0.000667;0.001500
10;0.000542;0.001375
10;0.000625;0.001500
10;0.000708;0.001500
10;0.000667;0.001458
10;0.000625;0.001584
10;0.000625;0.001583
10;0.000583;0.001458
10;0.000500;0.001416
10;0.000667;0.001416
10;0.000709;0.001375
10;0.000541;0.001417
10;0.000792;0.001500
10;0.000459;0.001459
10;0.000625;0.001375
10;0.000625;0.001417
10;0.000542;0.001500
10;0.000583;0.001417
10;0.000500;0.001542
10;0.000459;0.001417
10;0.000584;0.001375
10;0.000750;0.001333
10;0.000583;0.001417
10;0.000584;0.001500
10;0.000666;0.001542
10;0.000583;0.001375
10;0.000583;0.001417
10;0.000542;0.001500
10;0.000375;0.001459
10;0.000667;0.001417
10;0.000458;0.001292
10;0.000458;0.001459
10;0.000541;0.001375
10;0.000708;0.001375
10;0.000583;0.001417
15;0.001041;0.002667
15;0.001042;0.002625
15;0.000917;0.002334
15;0.001042;0.002541
15;0.001083;0.002458
15;0.001000;0.002375
15;0.001167;0.002333
15;0.000916;0.002333
15;0.001125;0.002292
15;0.001209;0.002625
15;0.001042;0.002125
15;0.001000;0.002500
15;0.001250;0.002209
15;0.001083;0.002458
15;0.001000;0.002291
15;0.001167;0.002125
15;0.000958;0.002334
15;0.001000;0.002416
15;0.000917;0.002291
15;0.001042;0.002375
15;0.001000;0.002208
15;0.001042;0.002334
15;0.000958;0.002250
15;0.001000;0.002208
15;0.000959;0.002250
15;0.000916;0.002084
15;0.000917;0.002334
15;0.000917;0.002291
15;0.001125;0.002500
15;0.001166;0.002292
15;0.001000;0.002250
15;0.001042;0.002375
15;0.000875;0.002208
15;0.000958;0.002250
15;0.001250;0.002417
15;0.000958;0.002292
15;0.000917;0.002292
15;0.000875;0.002209
15;0.001166;0.002291
15;0.000959;0.002250
15;0.000958;0.002375
15;0.001041;0.002292
15;0.001083;0.002125
15;0.001125;0.002333
15;0.000958;0.002375
15;0.000958;0.002250
15;0.000917;0.002333
15;0.000916;0.002250
15;0.001125;0.002292
15;0.001083;0.002250
20;0.001542;0.003458
20;0.001584;0.003250
20;0.001625;0.003292
20;0.001208;0.002958
20;0.001292;0.003541
20;0.001500;0.003125
20;0.001417;0.003417
20;0.001417;0.003208
20;0.001500;0.003167
20;0.001333;0.003041
20;0.001333;0.003250
20;0.001375;0.003250
20;0.001583;0.003125
20;0.001625;0.003084
20;0.001583;0.003000
20;0.001584;0.003042
20;0.001334;0.003041
20;0.001375;0.002916
20;0.001667;0.003084
20;0.001583;0.003125
20;0.001541;0.003000
20;0.001667;0.003042
20;0.001541;0.002958
20;0.001500;0.003125
20;0.001500;0.003125
20;0.001625;0.003167
20;0.001750;0.003167
20;0.001375;0.003500
20;0.001667;0.003125
20;0.001250;0.003250
20;0.001416;0.003250
20;0.001709;0.003125
20;0.001459;0.003083
20;0.001541;0.003000
20;0.001583;0.003000
20;0.001334;0.003083
20;0.001541;0.003000
20;0.001500;0.002958
20;0.001625;0.003083
20;0.001583;0.003041
20;0.001375;0.002916
20;0.001333;0.003000
20;0.001417;0.003083
20;0.001542;0.002958
20;0.001792;0.003167
20;0.001250;0.003083
20;0.001542;0.003166
20;0.001583;0.003208
20;0.001625;0.003125
20;0.001459;0.002917
30;0.002583;0.005583
30;0.002875;0.005417
30;0.002958;0.005000
30;0.002792;0.005208
30;0.002375;0.005125
30;0.002458;0.005166
30;0.003292;0.005375
30;0.002959;0.005541
30;0.002584;0.005167
30;0.003125;0.004917
30;0.002958;0.005209
30;0.002625;0.005125
30;0.002916;0.005084
30;0.003167;0.005250
30;0.002542;0.005083
30;0.002667;0.004916
30;0.002958;0.005166
30;0.002666;0.005083
30;0.002958;0.004917
30;0.002625;0.005000
30;0.002667;0.005083
30;0.003167;0.005042
30;0.003000;0.004792
30;0.002917;0.005000
30;0.002708;0.005208
30;0.002916;0.005167
30;0.002875;0.004833
30;0.002542;0.004875
30;0.002917;0.004792
30;0.002791;0.004916
30;0.003084;0.004834
30;0.002708;0.005166
30;0.002584;0.004750
30;0.002709;0.004958
30;0.002583;0.005250
30;0.002750;0.004917
30;0.003292;0.004791
30;0.002459;0.005000
30;0.002750;0.004917
30;0.002459;0.005125
30;0.002958;0.005083
30;0.003292;0.005083
30;0.003250;0.005208
30;0.002958;0.004833
30;0.002750;0.004792
30;0.003166;0.004916
30;0.002750;0.004875
30;0.002375;0.004875
30;0.002375;0.005167
30;0.002875;0.005250
45;0.005458;0.008417
45;0.005125;0.008667
45;0.004625;0.008167
45;0.005834;0.008417
45;0.005542;0.008334
45;0.006125;0.008500
45;0.005542;0.007959
45;0.005458;0.008375
45;0.005875;0.008500
45;0.005375;0.008875
45;0.006125;0.008917
45;0.006208;0.008250
45;0.006375;0.008542
45;0.005708;0.008292
45;0.006250;0.008083
45;0.005792;0.008208
45;0.006333;0.008458
45;0.004959;0.008167
45;0.005583;0.008542
45;0.005334;0.008209
45;0.005542;0.008250
45;0.006375;0.008125
45;0.005708;0.008167
45;0.005833;0.008167
45;0.006125;0.007959
45;0.006167;0.008125
45;0.006792;0.008250
45;0.005750;0.008375
45;0.006042;0.007875
45;0.005583;0.008292
45;0.005625;0.008291
45;0.005583;0.007958
45;0.004917;0.008167
45;0.005833;0.007875
45;0.004709;0.008375
45;0.005542;0.008084
45;0.005791;0.007916
45;0.006041;0.008417
45;0.005583;0.008250
45;0.004875;0.008041
45;0.006667;0.007792
45;0.006042;0.008084
45;0.006042;0.007958
45;0.005959;0.008166
45;0.005625;0.007958
45;0.006333;0.008459
45;0.005834;0.008041
45;0.006500;0.008208
45;0.005875;0.008167
45;0.006167;0.008000
60;0.009916;0.011542
60;0.010500;0.011208
60;0.010208;0.011416
60;0.009875;0.011459
60;0.009083;0.011459
60;0.009209;0.011250
60;0.008042;0.011375
60;0.009916;0.011334
60;0.008542;0.011250
60;0.009458;0.011250
